Class Number,Class Name,AP
0,person,77.75903461969882
1,bicycle,55.920103014555025
2,car,71.9442257771532
3,motorcycle,70.38670177917558
4,airplane,81.11056436282043
5,bus,86.60849698584701
6,train,80.95400711084737
7,truck,45.73959941971813
8,boat,49.35132695522386
9,traffic light,57.93523234135252
10,fire hydrant,86.83399040857749
11,stop sign,81.90953793752745
12,parking meter,58.76326208652232
13,bench,34.43082545247187
14,bird,50.524366325322276
15,cat,76.21399234571514
16,dog,75.86991077852763
17,horse,78.12162875761072
18,sheep,59.22566790660198
19,cow,53.209028250237935
20,elephant,80.48563256432442
21,bear,75.4848691342423
22,zebra,82.93596815160377
23,giraffe,88.19278637998555
24,backpack,40.98901767156388
25,umbrella,61.09320669802649
26,handbag,30.39349128331202
27,tie,59.53803300229266
28,suitcase,56.504977145166926
29,frisbee,80.83802769064927
30,skis,45.185118472714414
31,snowboard,55.71342669786675
32,sports ball,64.35400541718195
33,kite,44.2719911088295
34,baseball bat,51.60933818648342
35,baseball glove,63.40285133815091
36,skateboard,75.69025207113494
37,surfboard,68.90472107066003
38,tennis racket,76.74853856742236
39,bottle,52.89865845456669
40,wine glass,59.727533851592575
41,cup,58.39341329737273
42,fork,50.84276491959422
43,knife,34.96592733215944
44,spoon,26.267126153156116
45,bowl,55.86591663506923
46,banana,34.21117417252822
47,apple,20.027361147177356
48,sandwich,44.84751471350196
49,orange,24.920513167268194
50,broccoli,32.48515216538054
51,carrot,24.07636966573008
52,hot dog,39.85048579158344
53,pizza,57.08837887856648
54,donut,42.59130049857698
55,cake,47.831762158270905
56,chair,46.60540441916193
57,couch,52.894018767963345
58,potted plant,48.54592721719661
59,bed,61.46418371473029
60,dining table,39.62413772658314
61,toilet,82.39459867872512
62,tv,77.68502450891725
63,laptop,71.98494996165327
64,mouse,74.81734750240871
65,remote,56.34080417266504
66,keyboard,71.75085313228963
67,cell phone,48.2564371932418
68,microwave,80.57659361456669
69,oven,55.24228746235621
70,toaster,31.872840963750054
71,sink,59.181342265784
72,refrigerator,68.4654941567722
73,book,20.847029005829132
74,clock,76.12638845842898
75,vase,57.00107094992962
76,scissors,37.13483479177735
77,teddy bear,61.35889460930735
78,hair drier,9.090909090909092
79,toothbrush,34.797436901169704
mAP,57.07622396919163, 
